Nro,Titulo,Secao,Tipo
KOR3,Seung-gyu Kim,Korea Republic,normal
KOR4,Hyeon-woo Jo,Korea Republic,normal
KOR5,Chul Hong,Korea Republic,normal
KOR6,Tae-hwan Kim,Korea Republic,normal
KOR7,Min-jae Kim,Korea Republic,normal
KOR8,Young-gwon Kim,Korea Republic,normal
KOR9,Jin-su Kim,Korea Republic,normal
KOR10,Yong Lee,Korea Republic,normal
KOR11,In-beom Hwang,Korea Republic,normal
KOR12,Woo-young Jung,Korea Republic,normal
KOR13,Jae-sung Lee,Korea Republic,normal
KOR14,Seung-ho Paik,Korea Republic,normal
KOR15,Gue-sung Cho,Korea Republic,normal
KOR16,Hee-chan Hwang,Korea Republic,normal
KOR17,Ui-jo Hwang,Korea Republic,normal
KOR18,Chang-hoon Kwon,Korea Republic,normal
KOR19,Heung-min Son,Korea Republic,normal
KOR20,Min-kyu Song,Korea Republic,normal
FWC19,Uruguay 1930,FIFA Museum,metalico
FWC20,Italy 1938,FIFA Museum,metalico
FWC21,Brazil 1958,FIFA Museum,metalico
FWC22,England 1966,FIFA Museum,metalico
FWC23,Brazil 1970,FIFA Museum,metalico
FWC24,Argentina 1978,FIFA Museum,metalico
FWC25,Italy 1982,FIFA Museum,metalico
FWC26,Germany FR 1990,FIFA Museum,metalico
FWC27,France 1998,FIFA Museum,metalico
FWC28,Spain 2010,FIFA Museum,metalico
FWC29,France 2018,FIFA Museum,metalico
C1,Serge Gnabry (Germany),Coca-Cola Team Believers,Brazil extra
C2,Emiliano Martinez (Argentina),Coca-Cola Team Believers,Brazil extra
C3,Kevin De Bruyne (Belgium),Coca-Cola Team Believers,Brazil extra
C4,Luka Modric (Croatia),Coca-Cola Team Believers,Brazil extra
C5,Declan Rice (England),Coca-Cola Team Believers,Brazil extra
C6,Gavi (Spain),Coca-Cola Team Believers,Brazil extra
C7,Hirving Lozano (Mexico),Coca-Cola Team Believers,Brazil extra
C8,Heung-min Son (Korea Republic),Coca-Cola Team Believers,Brazil extra
